,"Global model, model selected by backward elimination with AIC selection, and bootstrap-derived statistics of model stability",,,,,,,,,,,,,,,,
6,MDSS ,-0.042 ,0.029 ,94%,-0.029 ,0.028 ,-0.030 ,-0.085 ,0.016 ,0.996 ,18%,NA,NA,0,-0.095,0,1.432
7,PHQ-9 = 6-10,0.412 ,0.238 ,94%,0.245 ,0.226 ,0.243 ,-0.195 ,0.699 ,1.196 ,22%,NA,NA,0,0,0.832,1.633
8,PHQ-9 = 11-15,0.547 ,0.396 ,94%,0.330 ,0.383 ,0.326 ,-0.450 ,1.095 ,1.148 ,22%,NA,NA,0,0,1.254,1.364
9,PHQ-9 > 15,0.304 ,0.481 ,94%,-0.075 ,0.447 ,-0.004 ,-1.058 ,0.877 ,1.253 ,22%,NA,NA,0,-0.499,1.318,0.922
10,School Rank: PR< 70,0.372 ,0.211 ,90%,0.332 ,0.207 ,0.310 ,0,0.752,1.038,29%,NA,NA,0,0,0.784,1.622
11,Father's unemployment,0.810 ,0.320 ,81%,0.836 ,0.303 ,0.802 ,0,1.423,1.365,63%,0.877,0.305,0.851,0,1.485,1.748
12,Smoking habit,0.261 ,0.488 ,70%,0.310 ,0.485 ,0.320 ,-0.202,1.447,1.014,13%,NA,NA,0,0,1.628,1.003
13,Male ,0.404 ,0.213 ,70%,0.445 ,0.209 ,0.439 ,0,0.899,1.399,35%,NA,NA,0,0,0.861,1.704
14,Not residing with parents,0.271 ,0.312 ,36%,NA,NA,0,0,0.975,1.052,15%,NA,NA,0,0,1.014,1.118
15,Mother's uemployment,0.019 ,0.227 ,21%,NA,NA,0,-0.460 ,0,0.687,4%,NA,NA,0,0,0,0.499
16,"RSES , standardized",0.269 ,0.122 ,13%,NA,NA,0,0,0.241,2.113,33%,NA,NA,0,0,0.491,1.889
17,Needy family ,-0.428,0.312,3%,NA,NA,0,-0.018,0,1.421,14%,NA,NA,0,-1.029,0,1.410 
