"fmla","n","freq","cumulative_freq","AUC","Emax"
"119","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q22_0_a+ firstrses_standardized+ bis1_standardized",1,0.001,0.928,0.82,0.025
"120","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q3_a+ firstrses_standardized+ bis1_standardized",1,0.001,0.929,0.82,0.023
"121","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q3_a+ PHQ9_1yr_new+ bis1_standardized",1,0.001,0.93,0.824,0.034
"122","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q3_a+ q22_0_a+ bis1_standardized",1,0.001,0.931,0.821,0.017
"123","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q3_a+ q5_a+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized",1,0.001,0.932,0.832,0.036
"124","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q3_a+ q5_a+ AUDIT_C_4_a+ q22_0_a+ firstrses_standardized+ bis1_standardized",1,0.001,0.933,0.833,0.041
"125","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q3_a+ q5_a+ PHQ9_1yr_new+ AUDIT_C_4_a",1,0.001,0.934,0.814,0.038
"126","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q3_a+ q5_a+ PHQ9_1yr_new+ bis1_standardized",1,0.001,0.935,0.83,0.052
"127","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q3_a+ q6_a+ AUDIT_C_4_a+ bis1_standardized",1,0.001,0.936,0.827,0.039
"128","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q3_a+ q6_a+ q5_a+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized",1,0.001,0.937,0.832,0.04
"129","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q3_a+ q68_a+ firstrses_standardized+ bis1_standardized",1,0.001,0.938,0.824,0.03
"130","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q3_a+ q68_a+ PHQ9_1yr_new+ firstrses_standardized+ bis1_standardized",1,0.001,0.939,0.829,0.038
"131","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q3_a+ q7_a+ q5_a+ PHQ9_1yr_new+ bis1_standardized",1,0.001,0.94,0.83,0.048
"132","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q3_a+ q7_a+ q68_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized",1,0.001,0.941,0.834,0.025
"133","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q3_a+ q8_a+ AUDIT_C_4_a+ q22_0_a+ bis1_standardized",1,0.001,0.942,0.827,0.042
"134","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q3_a+ q8_a+ bis1_standardized",1,0.001,0.943,0.82,0.019
"135","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q3_a+ q8_a+ firstrses_standardized+ bis1_standardized",1,0.001,0.944,0.82,0.029
"136","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q3_a+ q8_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ bis1_standardized",1,0.001,0.945,0.831,0.045
"137","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q3_a+ school_PR+ AUDIT_C_4_a+ bis1_standardized",1,0.001,0.946,0.826,0.037
"138","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q3_a+ school_PR+ q5_a+ AUDIT_C_4_a+ bis1_standardized",1,0.001,0.947,0.831,0.034
"139","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q3_a+ school_PR+ q5_a+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized",1,0.001,0.948,0.832,0.036
"140","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q3_a+ school_PR+ q6_a+ bis1_standardized",1,0.001,0.949,0.821,0.018
"141","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q5_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ firstrses_standardized",1,0.001,0.95,0.815,0.057
"142","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q5_a+ q68_a+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized",1,0.001,0.951,0.832,0.028
"143","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q5_a+ q68_a+ firstrses_standardized+ bis1_standardized",1,0.001,0.952,0.828,0.019
"144","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q5_a+ q68_a+ PHQ9_1yr_new+ firstrses_standardized+ bis1_standardized",1,0.001,0.953,0.832,0.042
"145","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q6_a+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized",1,0.001,0.954,0.826,0.028
"146","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q6_a+ AUDIT_C_4_a+ q22_0_a+ firstrses_standardized+ bis1_standardized",1,0.001,0.955,0.828,0.033
"147","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q6_a+ q5_a+ bis1_standardized",1,0.001,0.956,0.824,0.017
"148","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q6_a+ q5_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ bis1_standardized",1,0.001,0.957,0.832,0.036
"149","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q6_a+ q5_a+ q68_a+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized",1,0.001,0.958,0.832,0.034
"150","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q6_a+ q5_a+ q68_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ bis1_standardized",1,0.001,0.959,0.834,0.034
"151","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q6_a+ q68_a+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized",1,0.001,0.96,0.828,0.023
"152","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q6_a+ q68_a+ AUDIT_C_4_a+ q22_0_a+ firstrses_standardized+ bis1_standardized",1,0.001,0.961,0.829,0.026
"153","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q68_a",1,0.001,0.962,0.787,0.288
"154","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q68_a+ AUDIT_C_4_a",1,0.001,0.963,0.797,0.058
"155","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q68_a+ AUDIT_C_4_a+ q22_0_a+ firstrses_standardized+ bis1_standardized",1,0.001,0.964,0.829,0.022
"156","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q68_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ q22_0_a+ firstrses_standardized+ bis1_standardized",1,0.001,0.965,0.834,0.028
"157","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q68_a+ PHQ9_1yr_new+ bis1_standardized",1,0.001,0.966,0.825,0.034
"158","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q68_a+ q22_0_a+ bis1_standardized",1,0.001,0.967,0.823,0.019
"159","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q68_a+ q22_0_a+ firstrses_standardized+ bis1_standardized",1,0.001,0.968,0.824,0.022
"160","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q7_a+ PHQ9_1yr_new+ bis1_standardized",1,0.001,0.969,0.82,0.016
"161","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q7_a+ q5_a+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized",1,0.001,0.97,0.831,0.03
"162","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q7_a+ q5_a+ bis1_standardized",1,0.001,0.971,0.824,0.023
"163","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q7_a+ q5_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized",1,0.001,0.972,0.834,0.026
"164","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q7_a+ q5_a+ q68_a+ bis1_standardized",1,0.001,0.973,0.827,0.027
"165","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q7_a+ q5_a+ q68_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ bis1_standardized",1,0.001,0.974,0.835,0.032
"166","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q7_a+ q68_a+ AUDIT_C_4_a+ bis1_standardized",1,0.001,0.975,0.828,0.027
"167","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q7_a+ q68_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ bis1_standardized",1,0.001,0.976,0.831,0.034
"168","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q8_a+ firstrses_standardized+ bis1_standardized",1,0.001,0.977,0.818,0.037
